"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CGI_10000380" 40.9717259198286 1.26163715261835 0.47375465588604 2.66306016615029 0.00774335675374636 0.046178056010943
"CGI_10000381" 396.049542612721 -1.01412048075791 0.309708440916331 -3.27443603977161 0.00105873103536228 0.0109031881327497
"CGI_10000388" 37.9806290449457 1.3214527391509 0.482892502716395 2.73653604418662 0.00620897925760388 0.0396379139947455
"CGI_10000402" 1207.15861590354 1.95953417182635 0.462225164574538 4.23934982776204 2.24168094025105e-05 0.000553760118562358
"CGI_10000408" 243.177409971667 2.72373483019721 0.532178293440826 5.11808704670528 3.08650154724041e-07 1.61494299976072e-05
"CGI_10000417" 56.2279135354197 1.16959073213117 0.402969257106329 2.90243166570535 0.00370277932395445 0.0269882221620702
"CGI_10000492" 177.98071665007 2.99883946878521 0.814487561035968 3.68187264268458 0.000231527068253922 0.00344768273898703
"CGI_10000513" 3651.55580617634 2.66918094861602 0.521811961230288 5.11521610643579 3.13381955155705e-07 1.63498930396752e-05
"CGI_10000514" 751.769826254919 2.55784979175847 0.518058820401552 4.93737330787237 7.91818124973705e-07 3.55524318631007e-05
"CGI_10000515" 303.43733122734 2.35276688315519 0.523191073010484 4.49695532765339 6.89334642608938e-06 0.00021205452155939
"CGI_10000516" 333.21465338351 2.3026614344032 0.611325756563741 3.766668440974 0.000165440478400244 0.00268430502755571
"CGI_10000517" 357.483882109187 1.77472299510106 0.567800092572231 3.12561237364592 0.00177435263556852 0.0159797353429474
"CGI_10000536" 342.883457452403 -1.13244260838804 0.333698476817928 -3.39361036102638 0.000689777587706758 0.00795065081979724
"CGI_10000544" 46.5069495913833 1.80935269919851 0.564972350773674 3.20255088009312 0.00136216235023282 0.0130984167923676
"CGI_10000555" 50.9938685345898 -1.66049236834094 0.528974527601869 -3.13907812512043 0.00169480256417639 0.0154727309254005
"CGI_10000580" 89.4693649848414 1.24645481598106 0.398371460313808 3.12887578592903 0.00175476470840247 0.0158741943426782
"CGI_10000585" 23.3078848205551 1.82482762622722 0.534014061410729 3.41719021668922 0.000632710553644755 0.00746911106110154
"CGI_10000590" 43.7304237649256 1.53520269125339 0.461855662466329 3.32398802486331 0.000887400063481529 0.00959609141979142
"CGI_10000602" 1092.82260758844 1.18897475158684 0.397247794682608 2.99303046486841 0.00276222174975729 0.0216839984119239
"CGI_10000610" 57.1829180336896 -1.33550003000407 0.466500819495173 -2.8628031810304 0.0041991131289716 0.0293453032985405
"CGI_10000618" 315.021669143991 0.975457818529429 0.302816893655814 3.22127939017216 0.00127619671496417 0.0124822189788054
"CGI_10000627" 66.1115743604096 -1.27498780844494 0.407649778290569 -3.1276548555759 0.00176206968371888 0.015908738323072
"CGI_10000692" 124.770505955575 1.32997672903515 0.482983678171188 2.75366806197488 0.00589315045358566 0.0381855958726985
"CGI_10000696" 143.238180507478 -1.6511881001654 0.500474254045723 -3.29924683800927 0.000969446258634355 0.0102511742992227
